,n,merge_sort_time,insertion_sort_time
0,1,0,0
1,2,0,0
2,3,15625000,0
3,4,15625000,0
4,5,0,0
5,6,15625000,0
6,7,31250000,0
7,8,46875000,15625000
8,9,46875000,15625000
9,10,62500000,15625000
10,11,62500000,31250000
11,12,78125000,31250000
12,13,78125000,31250000
13,14,93750000,31250000
14,15,93750000,31250000
15,16,109375000,31250000
16,17,125000000,46875000
17,18,125000000,46875000
18,19,140625000,78125000
19,20,140625000,62500000
20,21,140625000,78125000
21,22,156250000,62500000
22,23,187500000,93750000
23,24,171875000,93750000
24,25,187500000,109375000
25,26,203125000,125000000
26,27,171875000,156250000
27,28,218750000,156250000
28,29,218750000,140625000
29,30,234375000,156250000
30,31,218750000,171875000
31,32,250000000,156250000
32,33,265625000,187500000
33,34,281250000,203125000
34,35,281250000,203125000
35,36,296875000,187500000
36,37,296875000,234375000
37,38,312500000,250000000
38,39,328125000,234375000
39,40,328125000,250000000
40,41,328125000,250000000
41,42,359375000,250000000
42,43,343750000,375000000
43,44,375000000,328125000
44,45,375000000,312500000
45,46,390625000,359375000
46,47,390625000,328125000
47,48,421875000,343750000
48,49,421875000,343750000
49,50,406250000,390625000
50,51,453125000,515625000
51,52,453125000,421875000
52,53,468750000,484375000
53,54,468750000,437500000
54,55,484375000,453125000
55,56,500000000,500000000
56,57,484375000,562500000
57,58,515625000,484375000
58,59,531250000,515625000
59,60,515625000,531250000
60,61,546875000,703125000
61,62,546875000,593750000
62,63,562500000,703125000
63,64,562500000,578125000
64,65,593750000,656250000
65,66,593750000,671875000
66,67,593750000,687500000
67,68,578125000,812500000
68,69,640625000,796875000
69,70,625000000,750000000
70,71,656250000,843750000
71,72,656250000,796875000
72,73,671875000,1031250000
73,74,687500000,812500000
74,75,687500000,906250000
75,76,718750000,890625000
76,77,734375000,906250000
77,78,734375000,937500000
78,79,734375000,1093750000
79,80,750000000,968750000
80,81,765625000,1093750000
81,82,781250000,1078125000
82,83,796875000,1109375000
83,84,796875000,984375000
84,85,812500000,1109375000
85,86,796875000,1187500000
86,87,828125000,1203125000
87,88,781250000,1312500000
88,89,828125000,1093750000
89,90,875000000,1265625000
90,91,875000000,1250000000
91,92,890625000,1312500000
92,93,890625000,1296875000
93,94,921875000,1406250000
94,95,890625000,1406250000
95,96,953125000,1437500000
96,97,953125000,1359375000
97,98,937500000,1453125000
98,99,953125000,1687500000
