,n,k,tim_sort_time
0,1,10,0
1,2,10,0
2,3,10,0
3,4,10,0
4,5,10,0
5,6,10,0
6,7,10,0
7,8,10,15625000
8,9,10,15625000
9,10,10,15625000
10,11,10,31250000
11,12,10,31250000
12,13,10,31250000
13,14,10,46875000
14,15,10,46875000
15,16,10,46875000
16,17,10,62500000
17,18,10,62500000
18,19,10,46875000
19,20,10,78125000
20,21,10,62500000
21,22,10,78125000
22,23,10,93750000
23,24,10,93750000
24,25,10,93750000
25,26,10,93750000
26,27,10,109375000
27,28,10,109375000
28,29,10,125000000
29,30,10,109375000
30,31,10,125000000
31,32,10,125000000
32,33,10,109375000
33,34,10,140625000
34,35,10,140625000
35,36,10,140625000
36,37,10,156250000
37,38,10,156250000
38,39,10,171875000
39,40,10,187500000
40,41,10,187500000
41,42,10,203125000
42,43,10,218750000
43,44,10,234375000
44,45,10,218750000
45,46,10,218750000
46,47,10,250000000
47,48,10,234375000
48,49,10,265625000
49,50,10,250000000
50,51,10,234375000
51,52,10,265625000
52,53,10,265625000
53,54,10,281250000
54,55,10,250000000
55,56,10,281250000
56,57,10,296875000
57,58,10,281250000
58,59,10,312500000
59,60,10,312500000
60,61,10,312500000
61,62,10,328125000
62,63,10,312500000
63,64,10,312500000
64,65,10,343750000
65,66,10,343750000
66,67,10,343750000
67,68,10,375000000
68,69,10,375000000
69,70,10,359375000
70,71,10,359375000
71,72,10,375000000
72,73,10,390625000
73,74,10,375000000
74,75,10,406250000
75,76,10,421875000
76,77,10,437500000
77,78,10,437500000
78,79,10,406250000
79,80,10,453125000
80,81,10,453125000
81,82,10,468750000
82,83,10,437500000
83,84,10,468750000
84,85,10,484375000
85,86,10,531250000
86,87,10,531250000
87,88,10,531250000
88,89,10,546875000
89,90,10,578125000
90,91,10,562500000
91,92,10,546875000
92,93,10,593750000
93,94,10,578125000
94,95,10,546875000
95,96,10,593750000
96,97,10,593750000
97,98,10,578125000
98,99,10,625000000
99,1,31,0
100,2,31,0
101,3,31,0
102,4,31,0
103,5,31,0
104,6,31,0
105,7,31,0
106,8,31,15625000
107,9,31,15625000
108,10,31,15625000
109,11,31,15625000
110,12,31,31250000
111,13,31,31250000
112,14,31,31250000
113,15,31,46875000
114,16,31,46875000
115,17,31,46875000
116,18,31,62500000
117,19,31,46875000
118,20,31,93750000
119,21,31,62500000
120,22,31,78125000
121,23,31,109375000
122,24,31,93750000
123,25,31,109375000
124,26,31,93750000
125,27,31,125000000
126,28,31,140625000
127,29,31,125000000
128,30,31,140625000
129,31,31,140625000
130,32,31,140625000
131,33,31,140625000
132,34,31,140625000
133,35,31,125000000
134,36,31,171875000
135,37,31,156250000
136,38,31,171875000
137,39,31,171875000
138,40,31,218750000
139,41,31,203125000
140,42,31,171875000
141,43,31,250000000
142,44,31,250000000
143,45,31,218750000
144,46,31,218750000
145,47,31,265625000
146,48,31,250000000
147,49,31,265625000
148,50,31,265625000
149,51,31,281250000
150,52,31,312500000
151,53,31,312500000
152,54,31,281250000
153,55,31,343750000
154,56,31,343750000
155,57,31,328125000
156,58,31,343750000
157,59,31,343750000
158,60,31,390625000
159,61,31,437500000
160,62,31,375000000
161,63,31,375000000
162,64,31,375000000
163,65,31,328125000
164,66,31,343750000
165,67,31,343750000
166,68,31,343750000
167,69,31,375000000
168,70,31,343750000
169,71,31,390625000
170,72,31,437500000
171,73,31,359375000
172,74,31,359375000
173,75,31,390625000
174,76,31,437500000
175,77,31,468750000
176,78,31,484375000
177,79,31,453125000
178,80,31,515625000
179,81,31,453125000
180,82,31,500000000
181,83,31,484375000
182,84,31,484375000
183,85,31,515625000
184,86,31,484375000
185,87,31,500000000
186,88,31,546875000
187,89,31,562500000
188,90,31,546875000
189,91,31,531250000
190,92,31,578125000
191,93,31,640625000
192,94,31,578125000
193,95,31,640625000
194,96,31,640625000
195,97,31,625000000
196,98,31,687500000
197,99,31,656250000
